Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2023 07 16 09	35.187
2023 07 16 10	35.187
2023 07 16 11	35.187
2023 07 16 12	35.187
2023 07 16 13	35.187
2023 07 16 14	35.187
2023 07 16 15	35.187
2023 07 16 16	35.187
2023 07 16 17	35.187
2023 07 16 18	35.187
2023 07 16 19	35.187
2023 07 16 20	35.187
2023 07 16 21	35.187
2023 07 16 22	35.187
2023 07 16 23	35.187
2023 07 17 00	35.15
2023 07 17 01	35.15
2023 07 17 02	35.15
2023 07 17 03	35.15
2023 07 17 04	35.15
2023 07 17 05	35.15
2023 07 17 06	35.15
2023 07 17 07	35.15
2023 07 17 08	35.15
2023 07 17 09	35.15
2023 07 17 10	35.15
2023 07 17 11	35.15
2023 07 17 12	35.15
2023 07 17 13	35.15
2023 07 17 14	35.15
2023 07 17 15	35.15
2023 07 17 16	35.15
2023 07 17 17	35.15
2023 07 17 18	35.15
2023 07 17 19	35.15
2023 07 17 20	35.15
2023 07 17 21	35.15
2023 07 17 22	35.15
2023 07 17 23	35.15
2023 07 18 00	35.225
2023 07 18 01	35.225
2023 07 18 02	35.225
2023 07 18 03	35.225
2023 07 18 04	35.225
2023 07 18 05	35.225
2023 07 18 06	35.225
2023 07 18 07	35.225
2023 07 18 08	35.225
2023 07 18 09	35.225
2023 07 18 10	35.225
2023 07 18 11	35.225
2023 07 18 12	35.225
2023 07 18 13	35.225
2023 07 18 14	35.225
2023 07 18 15	35.225
2023 07 18 16	35.225
2023 07 18 17	35.225
2023 07 18 18	35.225
2023 07 18 19	35.225
2023 07 18 20	35.225
2023 07 18 21	35.225
2023 07 18 22	35.225
2023 07 18 23	35.225
2023 07 19 00	35.241
2023 07 19 01	35.241
2023 07 19 02	35.241
2023 07 19 03	35.241
2023 07 19 04	35.241
2023 07 19 05	35.241
2023 07 19 06	35.241
2023 07 19 07	35.241
2023 07 19 08	35.241
2023 07 19 09	35.241
2023 07 19 10	35.241
2023 07 19 11	35.241
2023 07 19 12	35.241
2023 07 19 13	35.241
2023 07 19 14	35.241
2023 07 19 15	35.241
2023 07 19 16	35.241
2023 07 19 17	35.241
2023 07 19 18	35.241
2023 07 19 19	35.241
2023 07 19 20	35.241
2023 07 19 21	35.241
2023 07 19 22	35.241
2023 07 19 23	35.241
2023 07 20 00	35.277
2023 07 20 01	35.277
2023 07 20 02	35.277
2023 07 20 03	35.277
2023 07 20 04	35.277
2023 07 20 05	35.277
2023 07 20 06	35.277
2023 07 20 07	35.277
2023 07 20 08	35.277
2023 07 20 09	35.277
2023 07 20 10	35.277
2023 07 20 11	35.277
2023 07 20 12	35.277
2023 07 20 13	35.277
2023 07 20 14	35.277
2023 07 20 15	35.277
2023 07 20 16	35.277
2023 07 20 17	35.277
2023 07 20 18	35.277
2023 07 20 19	35.277
2023 07 20 20	35.277
2023 07 20 21	35.277
2023 07 20 22	35.277
2023 07 20 23	35.277
2023 07 21 00	35.273
2023 07 21 01	35.273
2023 07 21 02	35.273
2023 07 21 03	35.273
2023 07 21 04	35.273
2023 07 21 05	35.273
2023 07 21 06	35.273
2023 07 21 07	35.273
2023 07 21 08	35.273
2023 07 21 09	35.273
2023 07 21 10	35.273
2023 07 21 11	35.273
2023 07 21 12	35.273
2023 07 21 13	35.273
2023 07 21 14	35.273
2023 07 21 15	35.273
2023 07 21 16	35.273
2023 07 21 17	35.273
2023 07 21 18	35.273
2023 07 21 19	35.273
2023 07 21 20	35.273
2023 07 21 21	35.273
2023 07 21 22	35.273
2023 07 21 23	35.273
2023 07 22 00	35.252
2023 07 22 01	35.252
2023 07 22 02	35.252
2023 07 22 03	35.252
2023 07 22 04	35.252
2023 07 22 05	35.252
2023 07 22 06	35.252
2023 07 22 07	35.252
2023 07 22 08	35.252
2023 07 22 09	35.252
2023 07 22 10	35.252
2023 07 22 11	35.252
2023 07 22 12	35.252
2023 07 22 13	35.252
2023 07 22 14	35.252
2023 07 22 15	35.252
2023 07 22 16	35.252
2023 07 22 17	35.252
2023 07 22 18	35.252
2023 07 22 19	35.252
2023 07 22 20	35.252
2023 07 22 21	35.252
2023 07 22 22	35.252
2023 07 22 23	35.252
2023 07 23 00	35.243
2023 07 23 01	35.243
2023 07 23 02	35.243
2023 07 23 03	35.243
2023 07 23 04	35.243
2023 07 23 05	35.243
2023 07 23 06	35.243
2023 07 23 07	35.243
2023 07 23 08	35.243
2023 07 23 09	35.243
2023 07 23 10	35.243
2023 07 23 11	35.243
2023 07 23 12	35.243
2023 07 23 13	35.243
2023 07 23 14	35.243
2023 07 23 15	35.243
2023 07 23 16	35.243
2023 07 23 17	35.243
2023 07 23 18	35.243
2023 07 23 19	35.243
2023 07 23 20	35.243
2023 07 23 21	35.243
2023 07 23 22	35.243
2023 07 23 23	35.243
2023 07 24 00	35.312
2023 07 24 01	35.312
2023 07 24 02	35.312
2023 07 24 03	35.312
2023 07 24 04	35.312
2023 07 24 05	35.312
2023 07 24 06	35.312
2023 07 24 07	35.312
2023 07 24 08	35.312
2023 07 24 09	35.312
2023 07 24 10	35.312
2023 07 24 11	35.312
2023 07 24 12	35.312
2023 07 24 13	35.312
2023 07 24 14	35.312
2023 07 24 15	35.312
2023 07 24 16	35.312
2023 07 24 17	35.312
2023 07 24 18	35.312
2023 07 24 19	35.312
2023 07 24 20	35.312
2023 07 24 21	35.312
2023 07 24 22	35.312
2023 07 24 23	35.312
2023 07 25 00	35.32
2023 07 25 01	35.32
2023 07 25 02	35.32
2023 07 25 03	35.32
2023 07 25 04	35.32
2023 07 25 05	35.32
2023 07 25 06	35.32
2023 07 25 07	35.32
2023 07 25 08	35.32
2023 07 25 09	35.32
2023 07 25 10	35.32
2023 07 25 11	35.32
2023 07 25 12	35.32
2023 07 25 13	35.32
2023 07 25 14	35.32
2023 07 25 15	35.32
2023 07 25 16	35.32
2023 07 25 17	35.32
2023 07 25 18	35.32
2023 07 25 19	35.32
