Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2023 07 18 06	20.369
2023 07 18 07	20.369
2023 07 18 08	20.39
2023 07 18 09	20.423
2023 07 18 10	20.461
2023 07 18 11	20.522
2023 07 18 12	20.592
2023 07 18 13	20.658
2023 07 18 14	20.746
2023 07 18 15	20.828
2023 07 18 16	20.876
2023 07 18 17	20.892
2023 07 18 18	20.87
2023 07 18 19	20.816
2023 07 18 20	20.74
2023 07 18 21	20.663
2023 07 18 22	20.602
2023 07 18 23	20.557
2023 07 19 00	20.301
2023 07 19 01	20.266
2023 07 19 02	20.238
2023 07 19 03	20.217
2023 07 19 04	20.199
2023 07 19 05	20.18
2023 07 19 06	20.161
2023 07 19 07	20.152
2023 07 19 08	20.155
2023 07 19 09	20.167
2023 07 19 10	20.189
2023 07 19 11	20.217
2023 07 19 12	20.256
2023 07 19 13	20.304
2023 07 19 14	20.361
2023 07 19 15	20.418
2023 07 19 16	20.446
2023 07 19 17	20.44
2023 07 19 18	20.409
2023 07 19 19	20.36
2023 07 19 20	20.304
2023 07 19 21	20.247
2023 07 19 22	20.201
2023 07 19 23	20.165
2023 07 20 00	20.136
2023 07 20 01	20.113
2023 07 20 02	20.094
2023 07 20 03	20.075
2023 07 20 04	20.055
2023 07 20 05	20.031
2023 07 20 06	20.009
2023 07 20 07	19.999
2023 07 20 08	20.02
2023 07 20 09	20.076
2023 07 20 10	20.158
2023 07 20 11	20.258
2023 07 20 12	20.358
2023 07 20 13	20.44
2023 07 20 14	20.498
2023 07 20 15	20.549
2023 07 20 16	20.606
2023 07 20 17	20.643
2023 07 20 18	20.634
2023 07 20 19	20.584
2023 07 20 20	20.498
2023 07 20 21	20.401
2023 07 20 22	20.31
2023 07 20 23	20.226
2023 07 21 00	20.157
2023 07 21 01	20.1
2023 07 21 02	20.049
2023 07 21 03	20.012
2023 07 21 04	19.987
2023 07 21 05	19.957
2023 07 21 06	19.941
2023 07 21 07	19.937
2023 07 21 08	19.964
2023 07 21 09	20.038
2023 07 21 10	20.149
2023 07 21 11	20.277
2023 07 21 12	20.4
2023 07 21 13	20.512
2023 07 21 14	20.627
2023 07 21 15	20.73
2023 07 21 16	20.779
2023 07 21 17	20.78
2023 07 21 18	20.748
2023 07 21 19	20.685
2023 07 21 20	20.594
2023 07 21 21	20.498
2023 07 21 22	20.418
2023 07 21 23	20.358
2023 07 22 00	20.306
2023 07 22 01	20.264
2023 07 22 02	20.234
2023 07 22 03	20.21
2023 07 22 04	20.189
2023 07 22 05	20.162
2023 07 22 06	20.137
2023 07 22 07	20.13
2023 07 22 08	20.147
2023 07 22 09	20.199
2023 07 22 10	20.277
2023 07 22 11	20.349
2023 07 22 12	20.406
2023 07 22 13	20.477
2023 07 22 14	20.566
2023 07 22 15	20.654
2023 07 22 16	20.712
2023 07 22 17	20.738
2023 07 22 18	20.721
2023 07 22 19	20.667
2023 07 22 20	20.595
2023 07 22 21	20.517
2023 07 22 22	20.448
2023 07 22 23	20.39
2023 07 23 00	20.344
2023 07 23 01	20.308
2023 07 23 02	20.282
2023 07 23 03	20.261
2023 07 23 04	20.241
2023 07 23 05	20.216
2023 07 23 06	20.192
2023 07 23 07	20.178
2023 07 23 08	20.186
2023 07 23 09	20.233
2023 07 23 10	20.329
2023 07 23 11	20.463
2023 07 23 12	20.623
2023 07 23 13	20.796
2023 07 23 14	20.938
2023 07 23 15	21.003
2023 07 23 16	21.022
2023 07 23 17	21.037
2023 07 23 18	21.011
2023 07 23 19	20.871
2023 07 23 20	20.748
2023 07 23 21	20.656
2023 07 23 22	20.607
2023 07 23 23	20.591
2023 07 24 00	20.59
2023 07 24 01	20.59
2023 07 24 02	20.585
2023 07 24 03	20.575
2023 07 24 04	20.562
2023 07 24 05	20.546
2023 07 24 06	20.527
2023 07 24 07	20.52
2023 07 24 08	20.523
2023 07 24 09	20.537
2023 07 24 10	20.554
2023 07 24 11	20.572
2023 07 24 12	20.592
2023 07 24 13	20.617
2023 07 24 14	20.637
2023 07 24 15	20.647
2023 07 24 16	20.663
2023 07 24 17	20.674
2023 07 24 18	20.669
2023 07 24 19	20.659
2023 07 24 20	20.64
2023 07 24 21	20.621
2023 07 24 22	20.605
2023 07 24 23	20.589
2023 07 25 00	20.574
2023 07 25 01	20.559
2023 07 25 02	20.546
2023 07 25 03	20.532
2023 07 25 04	20.521
2023 07 25 05	20.509
2023 07 25 06	20.496
2023 07 25 07	20.493
2023 07 25 08	20.502
2023 07 25 09	20.516
2023 07 25 10	20.535
2023 07 25 11	20.571
2023 07 25 12	20.616
2023 07 25 13	20.648
2023 07 25 14	20.676
2023 07 25 15	20.711
2023 07 25 16	20.734
2023 07 25 17	20.737
2023 07 25 18	20.73
2023 07 25 19	20.711
2023 07 25 20	20.684
2023 07 25 21	20.66
2023 07 25 22	20.641
2023 07 25 23	20.627
2023 07 26 00	20.618
2023 07 26 01	20.609
2023 07 26 02	20.602
2023 07 26 03	20.595
2023 07 26 04	20.589
2023 07 26 05	20.584
2023 07 26 06	20.579
2023 07 26 07	20.58
2023 07 26 08	20.593
2023 07 26 09	20.636
2023 07 26 10	20.718
2023 07 26 11	20.813
2023 07 26 12	20.912
2023 07 26 13	21.031
2023 07 26 14	21.135
2023 07 26 15	21.215
2023 07 26 16	21.269
2023 07 26 17	21.277
2023 07 26 18	21.26
2023 07 26 19	21.224
2023 07 26 20	21.169
2023 07 26 21	21.108
2023 07 26 22	21.061
2023 07 26 23	21.021
2023 07 27 00	20.985
2023 07 27 01	20.955
2023 07 27 02	20.931
2023 07 27 03	20.91
2023 07 27 04	20.888
2023 07 27 05	20.865
2023 07 27 06	20.845
2023 07 27 07	20.839
2023 07 27 08	20.849
2023 07 27 09	20.875
2023 07 27 10	20.926
2023 07 27 11	20.997
2023 07 27 12	21.078
2023 07 27 13	21.173
2023 07 27 14	21.301
2023 07 27 15	21.435
2023 07 27 16	21.525
2023 07 27 17	21.569
2023 07 27 18	21.575
2023 07 27 19	21.545
2023 07 27 20	21.481
2023 07 27 21	21.405
2023 07 27 22	21.345
2023 07 27 23	21.297
2023 07 28 00	21.256
2023 07 28 01	21.219
2023 07 28 02	21.178
2023 07 28 03	21.138
2023 07 28 04	21.109
2023 07 28 05	21.078
2023 07 28 06	21.051
2023 07 28 07	21.042
2023 07 28 08	21.058
2023 07 28 09	21.113
2023 07 28 10	21.218
2023 07 28 11	21.344
2023 07 28 12	21.47
2023 07 28 13	21.597
2023 07 28 14	21.69
2023 07 28 15	21.756
2023 07 28 16	21.808
2023 07 28 17	21.822
2023 07 28 18	21.794
2023 07 28 19	21.733
2023 07 28 20	21.67
2023 07 28 21	21.603
2023 07 28 22	21.545
2023 07 28 23	21.505
2023 07 29 00	21.476
2023 07 29 01	21.444
