Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 07 07 22	0.059	20.55
2023 07 07 23	0.061	21.1
2023 07 08 00	0.059	22.69
2023 07 08 01	0.058	24.36
2023 07 08 02	0.057	25.67
2023 07 08 03	0.054	27.51
2023 07 08 04	0.052	29.47
2023 07 08 05	0.051	30.57
2023 07 08 06	0.055	29.35
2023 07 08 07	0.063	26.96
2023 07 08 08	0.078	24.92
2023 07 08 09	0.096	22.57
2023 07 08 10	0.109	21.89
2023 07 08 11	0.116	22.16
2023 07 08 12	0.114	22.54
2023 07 08 13	0.101	23.79
2023 07 08 14	0.078	26.56
2023 07 08 15	0.047	36.38
2023 07 08 16	0.021	74.05
2023 07 08 17	0.024	148.24
2023 07 08 18	0.028	171.86
2023 07 08 19	0.005	201.8
2023 07 08 20	0.027	0.0
2023 07 08 21	0.052	9.81
2023 07 08 22	0.068	17.1
2023 07 08 23	0.069	18.43
2023 07 09 00	0.058	20.89
2023 07 09 01	0.039	28.49
2023 07 09 02	0.018	60.64
2023 07 09 03	0.019	141.34
2023 07 09 04	0.029	172.14
2023 07 09 05	0.028	190.12
2023 07 09 06	0.018	220.6
2023 07 09 07	0.017	296.56
2023 07 09 08	0.036	337.61
2023 07 09 09	0.056	352.87
2023 07 09 10	0.066	2.6
2023 07 09 11	0.059	11.68
2023 07 09 12	0.04	26.56
2023 07 09 13	0.025	51.34
2023 07 09 14	0.019	86.98
2023 07 09 15	0.015	108.43
2023 07 09 16	0.01	78.69
2023 07 09 17	0.023	12.26
2023 07 09 18	0.053	2.16
2023 07 09 19	0.086	1.33
2023 07 09 20	0.118	3.39
2023 07 09 21	0.142	6.42
2023 07 09 22	0.159	9.4
2023 07 09 23	0.162	12.41
2023 07 10 00	0.157	15.79
2023 07 10 01	0.142	19.7
2023 07 10 02	0.12	24.01
2023 07 10 03	0.098	28.37
2023 07 10 04	0.079	31.7
2023 07 10 05	0.069	32.09
2023 07 10 06	0.065	29.31
2023 07 10 07	0.066	25.01
2023 07 10 08	0.07	21.5
2023 07 10 09	0.076	19.85
2023 07 10 10	0.079	21.39
2023 07 10 11	0.081	23.74
2023 07 10 12	0.08	26.56
2023 07 10 13	0.081	28.77
2023 07 10 14	0.083	29.32
2023 07 10 15	0.085	29.24
2023 07 10 16	0.088	28.3
2023 07 10 17	0.091	26.56
2023 07 10 18	0.098	23.96
2023 07 10 19	0.106	20.8
2023 07 10 20	0.114	19.38
2023 07 10 21	0.117	19.35
2023 07 10 22	0.117	20.89
2023 07 10 23	0.119	23.76
2023 07 11 00	0.119	27.42
2023 07 11 01	0.118	30.88
2023 07 11 02	0.115	33.69
2023 07 11 03	0.11	36.55
2023 07 11 04	0.105	37.3
2023 07 11 05	0.102	35.86
2023 07 11 06	0.102	32.3
2023 07 11 07	0.102	29.32
2023 07 11 08	0.099	26.82
2023 07 11 09	0.095	27.36
2023 07 11 10	0.088	29.74
2023 07 11 11	0.078	36.72
2023 07 11 12	0.067	46.19
2023 07 11 13	0.062	52.2
2023 07 11 14	0.061	50.9
2023 07 11 15	0.063	46.27
2023 07 11 16	0.069	38.53
2023 07 11 17	0.078	30.46
2023 07 11 18	0.094	23.83
2023 07 11 19	0.113	18.43
2023 07 11 20	0.133	16.12
2023 07 11 21	0.143	16.54
2023 07 11 22	0.143	20.46
2023 07 11 23	0.138	24.71
2023 07 12 00	0.112	37.38
2023 07 12 01	0.104	41.49
2023 07 12 02	0.096	42.9
2023 07 12 03	0.087	41.74
2023 07 12 04	0.078	37.74
2023 07 12 05	0.072	30.82
2023 07 12 06	0.071	22.98
2023 07 12 07	0.073	15.73
2023 07 12 08	0.07	12.26
2023 07 12 09	0.057	14.03
2023 07 12 10	0.039	22.06
2023 07 12 11	0.026	37.3
2023 07 12 12	0.019	66.03
2023 07 12 13	0.019	83.99
2023 07 12 14	0.02	67.16
2023 07 12 15	0.025	51.34
2023 07 12 16	0.033	38.92
2023 07 12 17	0.044	29.42
2023 07 12 18	0.054	23.74
2023 07 12 19	0.062	20.44
2023 07 12 20	0.065	19.53
2023 07 12 21	0.066	20.35
2023 07 12 22	0.065	21.47
2023 07 12 23	0.067	22.75
2023 07 13 00	0.069	23.62
2023 07 13 01	0.074	23.8
2023 07 13 02	0.08	23.38
2023 07 13 03	0.084	23.82
