Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 07 18 17	35.225
2020 07 18 18	35.225
2020 07 18 19	35.225
2020 07 18 20	35.225
2020 07 18 21	35.225
2020 07 18 22	35.225
2020 07 18 23	35.225
2020 07 19 00	35.17
2020 07 19 01	35.17
2020 07 19 02	35.17
2020 07 19 03	35.17
2020 07 19 04	35.17
2020 07 19 05	35.17
2020 07 19 06	35.17
2020 07 19 07	35.17
2020 07 19 08	35.17
2020 07 19 09	35.17
2020 07 19 10	35.17
2020 07 19 11	35.17
2020 07 19 12	35.17
2020 07 19 13	35.17
2020 07 19 14	35.17
2020 07 19 15	35.17
2020 07 19 16	35.17
2020 07 19 17	35.17
2020 07 19 18	35.17
2020 07 19 19	35.17
2020 07 19 20	35.17
2020 07 19 21	35.17
2020 07 19 22	35.17
2020 07 19 23	35.17
2020 07 20 00	34.99
2020 07 20 01	34.99
2020 07 20 02	34.99
2020 07 20 03	34.99
2020 07 20 04	34.99
2020 07 20 05	34.99
2020 07 20 06	34.99
2020 07 20 07	34.99
2020 07 20 08	34.99
2020 07 20 09	34.99
2020 07 20 10	34.99
2020 07 20 11	34.99
2020 07 20 12	34.99
2020 07 20 13	34.99
2020 07 20 14	34.99
2020 07 20 15	34.99
2020 07 20 16	34.99
2020 07 20 17	34.99
2020 07 20 18	34.99
2020 07 20 19	34.99
2020 07 20 20	34.99
2020 07 20 21	34.99
2020 07 20 22	34.99
2020 07 20 23	34.99
2020 07 21 00	34.789
2020 07 21 01	34.789
2020 07 21 02	34.789
2020 07 21 03	34.789
2020 07 21 04	34.789
2020 07 21 05	34.789
2020 07 21 06	34.789
2020 07 21 07	34.789
2020 07 21 08	34.789
2020 07 21 09	34.789
2020 07 21 10	34.789
2020 07 21 11	34.789
2020 07 21 12	34.789
2020 07 21 13	34.789
2020 07 21 14	34.789
2020 07 21 15	34.789
2020 07 21 16	34.789
2020 07 21 17	34.789
2020 07 21 18	34.789
2020 07 21 19	34.789
2020 07 21 20	34.789
2020 07 21 21	34.789
2020 07 21 22	34.789
2020 07 21 23	34.789
2020 07 22 00	34.882
2020 07 22 01	34.882
2020 07 22 02	34.882
2020 07 22 03	34.882
2020 07 22 04	34.882
2020 07 22 05	34.882
2020 07 22 06	34.882
2020 07 22 07	34.882
2020 07 22 08	34.882
2020 07 22 09	34.882
2020 07 22 10	34.882
2020 07 22 11	34.882
2020 07 22 12	34.882
2020 07 22 13	34.882
2020 07 22 14	34.882
2020 07 22 15	34.882
2020 07 22 16	34.882
2020 07 22 17	34.882
2020 07 22 18	34.882
2020 07 22 19	34.882
2020 07 22 20	34.882
2020 07 22 21	34.882
2020 07 22 22	34.882
2020 07 22 23	34.882
2020 07 23 00	34.983
2020 07 23 01	34.983
2020 07 23 02	34.983
2020 07 23 03	34.983
2020 07 23 04	34.983
2020 07 23 05	34.983
2020 07 23 06	34.983
2020 07 23 07	34.983
2020 07 23 08	34.983
2020 07 23 09	34.983
2020 07 23 10	34.983
2020 07 23 11	34.983
2020 07 23 12	34.983
2020 07 23 13	34.983
2020 07 23 14	34.983
2020 07 23 15	34.983
2020 07 23 16	34.983
2020 07 23 17	34.983
2020 07 23 18	34.983
2020 07 23 19	34.983
2020 07 23 20	34.983
2020 07 23 21	34.983
2020 07 23 22	34.983
2020 07 23 23	34.983
2020 07 24 00	35.03
2020 07 24 01	35.03
2020 07 24 02	35.03
2020 07 24 03	35.03
2020 07 24 04	35.03
2020 07 24 05	35.03
2020 07 24 06	35.03
2020 07 24 07	35.03
2020 07 24 08	35.03
2020 07 24 09	35.03
2020 07 24 10	35.03
2020 07 24 11	35.03
2020 07 24 12	35.03
2020 07 24 13	35.03
2020 07 24 14	35.03
2020 07 24 15	35.03
2020 07 24 16	35.03
2020 07 24 17	35.03
2020 07 24 18	35.03
2020 07 24 19	35.03
2020 07 24 20	35.03
2020 07 24 21	35.03
2020 07 24 22	35.03
2020 07 24 23	35.03
2020 07 25 00	35.063
2020 07 25 01	35.063
2020 07 25 02	35.063
2020 07 25 03	35.063
2020 07 25 04	35.063
2020 07 25 05	35.063
2020 07 25 06	35.063
2020 07 25 07	35.063
2020 07 25 08	35.063
2020 07 25 09	35.063
2020 07 25 10	35.063
2020 07 25 11	35.063
2020 07 25 12	35.063
2020 07 25 13	35.063
2020 07 25 14	35.063
2020 07 25 15	35.063
2020 07 25 16	35.063
2020 07 25 17	35.063
2020 07 25 18	35.063
2020 07 25 19	35.063
2020 07 25 20	35.063
2020 07 25 21	35.063
2020 07 25 22	35.063
2020 07 25 23	35.063
2020 07 26 00	35.074
2020 07 26 01	35.074
2020 07 26 02	35.074
2020 07 26 03	35.074
2020 07 26 04	35.074
2020 07 26 05	35.074
2020 07 26 06	35.074
2020 07 26 07	35.074
2020 07 26 08	35.074
2020 07 26 09	35.074
2020 07 26 10	35.074
2020 07 26 11	35.074
2020 07 26 12	35.074
2020 07 26 13	35.074
2020 07 26 14	35.074
2020 07 26 15	35.074
2020 07 26 16	35.074
2020 07 26 17	35.074
2020 07 26 18	35.074
2020 07 26 19	35.074
2020 07 26 20	35.074
2020 07 26 21	35.074
2020 07 26 22	35.074
2020 07 26 23	35.074
2020 07 27 00	35.02
2020 07 27 01	35.02
2020 07 27 02	35.02
2020 07 27 03	35.02
2020 07 27 04	35.02
2020 07 27 05	35.02
2020 07 27 06	35.02
2020 07 27 07	35.02
2020 07 27 08	35.02
2020 07 27 09	35.02
2020 07 27 10	35.02
2020 07 27 11	35.02
2020 07 27 12	35.02
2020 07 27 13	35.02
2020 07 27 14	35.02
2020 07 27 15	35.02
2020 07 27 16	35.02
2020 07 27 17	35.02
2020 07 27 18	35.02
2020 07 27 19	35.02
2020 07 27 20	35.02
2020 07 27 21	35.02
2020 07 27 22	35.02
2020 07 27 23	35.02
2020 07 28 00	35.003
2020 07 28 01	35.003
2020 07 28 02	35.003
2020 07 28 03	35.003
2020 07 28 04	35.003
2020 07 28 05	35.003
2020 07 28 06	35.003
2020 07 28 07	35.003
2020 07 28 08	35.003
2020 07 28 09	35.003
2020 07 28 10	35.003
2020 07 28 11	35.003
2020 07 28 12	35.003
2020 07 28 13	35.003
2020 07 28 14	35.003
2020 07 28 15	35.003
2020 07 28 16	35.003
2020 07 28 17	35.003
2020 07 28 18	35.003
2020 07 28 19	35.003
2020 07 28 20	35.003
2020 07 28 21	35.003
2020 07 28 22	35.003
2020 07 28 23	35.003
2020 07 29 00	35.166
2020 07 29 01	35.166
2020 07 29 02	35.166
2020 07 29 03	35.166
2020 07 29 04	35.166
2020 07 29 05	35.166
2020 07 29 06	35.166
2020 07 29 07	35.166
2020 07 29 08	35.166
2020 07 29 09	35.166
2020 07 29 10	35.166
2020 07 29 11	35.166
2020 07 29 12	35.166
2020 07 29 13	35.166
2020 07 29 14	35.166
2020 07 29 15	35.166
2020 07 29 16	35.166
2020 07 29 17	35.166
2020 07 29 18	35.166
2020 07 29 19	35.166
2020 07 29 20	35.166
2020 07 29 21	35.166
2020 07 29 22	35.166
2020 07 29 23	35.166
2020 07 30 00	35.138
2020 07 30 01	35.138
2020 07 30 02	35.138
2020 07 30 03	35.138
2020 07 30 04	35.138
2020 07 30 05	35.138
2020 07 30 06	35.138
2020 07 30 07	35.138
2020 07 30 08	35.138
2020 07 30 09	35.138
2020 07 30 10	35.138
2020 07 30 11	35.138
2020 07 30 12	35.138
2020 07 30 13	35.138
2020 07 30 14	35.138
2020 07 30 15	35.138
2020 07 30 16	35.138
2020 07 30 17	35.138
2020 07 30 18	35.138
2020 07 30 19	35.138
2020 07 30 20	35.138
2020 07 30 21	35.138
2020 07 30 22	35.138
2020 07 30 23	35.138
2020 07 31 00	35.182
2020 07 31 01	35.182
2020 07 31 02	35.182
2020 07 31 03	35.182
2020 07 31 04	35.182
2020 07 31 05	35.182
2020 07 31 06	35.182
2020 07 31 07	35.182
2020 07 31 08	35.182
2020 07 31 09	35.182
2020 07 31 10	35.182
2020 07 31 11	35.182
2020 07 31 12	35.182
2020 07 31 13	35.182
2020 07 31 14	35.182
2020 07 31 15	35.182
2020 07 31 16	35.182
2020 07 31 17	35.182
2020 07 31 18	35.182
2020 07 31 19	35.182
2020 07 31 20	35.182
2020 07 31 21	35.182
2020 07 31 22	35.182
2020 07 31 23	35.182
2020 08 01 00	35.221
2020 08 01 01	35.221
2020 08 01 02	35.221
2020 08 01 03	35.221
2020 08 01 04	35.221
